7zip 26.02-1.1
accountsservice 26.27.3-1.1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-6.1
alsa-utils 1.2.16-1.1
ark 26.08.0-1.1
awesome-terminal-fonts 1.1.0-5
baka-mplayer 2.0.4-6.1
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bind 9.20.27-1.1
bluez 5.87-2.1
bluez-hid2hci 5.87-2.1
bluez-libs 5.87-2.1
bluez-obex 5.87-2.1
bluez-utils 5.87-2.1
btop 1.4.7-1.1
btrfs-assistant 2.3.1-1.1
btrfs-progs 7.1-1
cachyos-grub-theme 1.0.0-1
cachyos-hello 0.28.1-1
cachyos-hooks 2026.02.05-1
cachyos-kernel-manager 1.19.0-1
cachyos-keyring 20240331-1
cachyos-mirrorlist 27-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 24-1
cachyos-samba-settings 20250314-1
cachyos-settings 1:1.4.0-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cava 0.10.7-1.1
chwd 1.24.1-1
cpupower 7.2.2-1
cryptsetup 2.8.7-1.1
cups 2:2.4.19-1
cups-filters 2.0.1-2.1
cups-pdf 3.0.3-1.1
device-mapper 2.03.42-1.1
diffutils 3.12-2.1
dmidecode 3.7-1
dnsmasq 2.93-1.1
dolphin 26.08.0-4.1
dosfstools 4.2-5.1
duf 0.9.1-1.1
e2fsprogs 1.47.4-1.1
efibootmgr 18-4.1
efitools 1.9.2-7.1
ethtool 1:7.1-1.1
ex-vi-compat 3-1
exfatprogs 1.4.3-1.1
f2fs-tools 1.16.0-3.1
ffmpegthumbnailer 2.3.1-1.1
flatpak 1:1.18.2-1.1
foomatic-db 3:20260813-1
foomatic-db-engine 5:20200131-2.1
foomatic-db-gutenprint-ppds 5.3.5-1.1
foomatic-db-nonfree 3:20260813-1
foomatic-db-nonfree-ppds 3:20260813-1
foomatic-db-ppds 3:20260813-1
fsarchiver 0.8.9-1.1
fuse2 2.9.9-6
fzf 0.74.3-1.1
ghostscript 10.07.1-1.1
git 2.55.0-1.1
gnome-characters 50.0-1.1
grub 2:2.14-1.1
grub-btrfs-support 1.0.0-2
grub-hook 2.1-1
